date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:25	135/135	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/robots.txt		(from )
12:21:26	94671/94671	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/index.html	(from )
12:21:27	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/favicon.ico	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/favicon.ico	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:29	150174/150174	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/feeds/posts/default	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:34	125557/125557	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/feeds/posts/default9522	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:34	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/OPPRO/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:36	170570/170570	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2006:21:37%20GMT	https://cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	C:/My%20Web%20Sites/OPPRO/cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:37	4301/4301	---M--	200	added ('OK')	image/jpeg	etag:%22ve47%22	https://2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	C:/My%20Web%20Sites/OPPRO/2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:37	372/372	---M--	200	added ('OK')	image/png	etag:%22v1bdf%22	https://4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	C:/My%20Web%20Sites/OPPRO/4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:39	3272/3272	---M--	200	added ('OK')	image/jpeg	etag:%22v33%22	http://2.bp.blogspot.com/-YSikWHcgmBQ/YhI_hewcPpI/AAAAAAAAACo/8cryS27LrksufIeoo3YKu27uwkK_ef0bgCK4BGAYYCw/s113/pexels-pixabay-220453.jpg	C:/My%20Web%20Sites/OPPRO/2.bp.blogspot.com/-YSikWHcgmBQ/YhI_hewcPpI/AAAAAAAAACo/8cryS27LrksufIeoo3YKu27uwkK_ef0bgCK4BGAYYCw/s113/pexels-pixabay-220453.jpg	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:39	1/1	---MC-	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2006:21:40%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=7178576062144707220&zx=7954d1a9-49ba-4753-83d6-e95f0150411d	C:/My%20Web%20Sites/OPPRO/www.blogger.com/dyn-css/authorization3383.css	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:42	115770/115770	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_93.html	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_93.html	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:46	217169/217169	---M--	200	added ('OK')	image/png	etag:%22v380%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjkU86VgGZmQicfMbHgFDC2tGKpptHRI17TKBHX6zbrUx_nfv4VqpwryMhS5R0rejwAC1wVckhxi0j0rvQ3gK2jUMPbxtlrB7jVDMWHaaDebkNUWLl7mHoM36f9H-XOevb53IHteltT3Jdqi3HkEdtSyQx_7nGflSJMnxE0asb61EVWDABB9p-ya2UpTA/w640-h382/Untitled%20design%20(1).png	C:/My%20Web%20Sites/OPPRO/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjkU86VgGZmQicfMbHgFDC2tGKpptHRI17TKBHX6zb/w640-h382/Untitled%20design%20(1).png	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:46	115677/115677	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_17.html	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_17.html	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:48	320357/320357	---M--	200	added ('OK')	image/png	etag:%22v38f%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj--Z7acLucWexpdYRn-LxJXUDG7tjfZVjLzGq8yQMK6TZG66L2P0Tbfa2InnnSDzP7nPggRU4qEk0v4C3Pk9sjn67tw7RNprIEPDwB0ltvmCQ6527U9qgUfprFg5lsxh5oDpI59O7gYq24vY6CCsVxIeSeUVpnVLLfdJzMIu2640fcupDYimPStHWlVw/w640-h382/Untitled%20design.png	C:/My%20Web%20Sites/OPPRO/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj--Z7acLucWexpdYRn-LxJXUDG7tjfZVjLzGq8yQM/w640-h382/Untitled%20design.png	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
12:21:49	115745/115745	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2005:35:38%20GMT	https://fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_8.html	C:/My%20Web%20Sites/OPPRO/fsefsvvsffdseeeesfffee.blogspot.com/2023/03/watch-full-video-settimeoutfunction_8.html	(from https://fsefsvvsffdseeeesfffee.blogspot.com/)
